question,answer
What is the rate of Lodging charges?,"If the employees are required to stay at the tour station for one or more nights, they are also entitled to lodging charges, the maximum rates exclusive of taxes of which are also indicated below. Grade (IDA) MD/TMM ED/CGM GM DGM/Sr.DGM/JGM/AGM Mgr./AM Rs. 25000-80000 and above up to highest non-exe cadre Below Rs.25000-80000/-"
What is the rate of Lodging charges?,"If the employees are required to stay at the tour station for one or more nights, they are also entitled to lodging charges, the maximum rates exclusive of taxes of which are also indicated below. Grade (IDA) MD/TMM ED/CGM GM DGM/Sr.DGM/JGM/AGM Mgr./AM Rs. 25000-80000 and above up to highest non-exe cadre Below Rs.25000-80000/-"
What is the rate of Lodging charges?,"If the employees are required to stay at the tour station for one or more nights, they are also entitled to lodging charges, the maximum rates exclusive of taxes of which are also indicated below. Grade (IDA) MD/TMM ED/CGM GM DGM/Sr.DGM/JGM/AGM Mgr./AM Rs. 25000-80000 and above up to highest non-exe cadre Below Rs.25000-80000/-"
What is the rate of Lodging charges?,"If the employees are required to stay at the tour station for one or more nights, they are also entitled to lodging charges, the maximum rates exclusive of taxes of which are also indicated below. Grade (IDA) MD/TMM ED/CGM GM DGM/Sr.DGM/JGM/AGM Mgr./AM Rs. 25000-80000 and above up to highest non-exe cadre Below Rs.25000-80000/-"
What is the rate of Lodging charges?,"If the employees are required to stay at the tour station for one or more nights, they are also entitled to lodging charges, the maximum rates exclusive of taxes of which are also indicated below. Grade (IDA) MD/TMM ED/CGM GM DGM/Sr.DGM/JGM/AGM Mgr./AM Rs. 25000-80000 and above up to highest non-exe cadre Below Rs.25000-80000/-"
What is the rate of Lodging charges?,"If the employees are required to stay at the tour station for one or more nights, they are also entitled to lodging charges, the maximum rates exclusive of taxes of which are also indicated below. Grade (IDA) MD/TMM ED/CGM GM DGM/Sr.DGM/JGM/AGM Mgr./AM Rs. 25000-80000 and above up to highest non-exe cadre Below Rs.25000-80000/-"
What is the rate of Lodging charges?,"If the employees are required to stay at the tour station for one or more nights, they are also entitled to lodging charges, the maximum rates exclusive of taxes of which are also indicated below. Grade (IDA) MD/TMM ED/CGM GM DGM/Sr.DGM/JGM/AGM Mgr./AM Rs. 25000-80000 and above up to highest non-exe cadre Below Rs.25000-80000/-"
What is the rate of Lodging charges?,"If the employees are required to stay at the tour station for one or more nights, they are also entitled to lodging charges, the maximum rates exclusive of taxes of which are also indicated below. Grade (IDA) MD/TMM ED/CGM GM DGM/Sr.DGM/JGM/AGM Mgr./AM Rs. 25000-80000 and above up to highest non-exe cadre Below Rs.25000-80000/-"
What is the rate of Lodging charges?,"If the employees are required to stay at the tour station for one or more nights, they are also entitled to lodging charges, the maximum rates exclusive of taxes of which are also indicated below. Grade (IDA) MD/TMM ED/CGM GM DGM/Sr.DGM/JGM/AGM Mgr./AM Rs. 25000-80000 and above up to highest non-exe cadre Below Rs.25000-80000/-"
What is the rate of Lodging charges?,"If the employees are required to stay at the tour station for one or more nights, they are also entitled to lodging charges, the maximum rates exclusive of taxes of which are also indicated below. Grade (IDA) MD/TMM ED/CGM GM DGM/Sr.DGM/JGM/AGM Mgr./AM Rs. 25000-80000 and above up to highest non-exe cadre Below Rs.25000-80000/-"
What is the rate of Lodging charges?,"If the employees are required to stay at the tour station for one or more nights, they are also entitled to lodging charges, the maximum rates exclusive of taxes of which are also indicated below. Grade (IDA) MD/TMM ED/CGM GM DGM/Sr.DGM/JGM/AGM Mgr./AM Rs. 25000-80000 and above up to highest non-exe cadre Below Rs.25000-80000/-"
What is the rate of Lodging charges?,"If the employees are required to stay at the tour station for one or more nights, they are also entitled to lodging charges, the maximum rates exclusive of taxes of which are also indicated below. Grade (IDA) MD/TMM ED/CGM GM DGM/Sr.DGM/JGM/AGM Mgr./AM Rs. 25000-80000 and above up to highest non-exe cadre Below Rs.25000-80000/-"
What is the eligibility on official work within the headquarter station?,"The employees, who are required to travel on official work within the headquarters station, are entitled to travel by the following modes and claim reimbursement on actual: Entitlement to travel at official work:- Pay Scale Rs.120000-280000 and above but below TMM Rs.50000-160000 (Exe) and above but less than Rs. 120000-280000 Rs.25000-80000 and above upto Rs.50000-160000 (Non-Exe) Below grade Rs.25000-80000"
What is the eligibility on official work within the headquarter station?,"The employees, who are required to travel on official work within the headquarters station, are entitled to travel by the following modes and claim reimbursement on actual: Entitlement to travel at official work:- Pay Scale Rs.120000-280000 and above but below TMM Rs.50000-160000 (Exe) and above but less than Rs. 120000-280000 Rs.25000-80000 and above upto Rs.50000-160000 (Non-Exe) Below grade Rs.25000-80000"
What is the eligibility on official work within the headquarter station?,"The employees, who are required to travel on official work within the headquarters station, are entitled to travel by the following modes and claim reimbursement on actual: Entitlement to travel at official work:- Pay Scale Rs.120000-280000 and above but below TMM Rs.50000-160000 (Exe) and above but less than Rs. 120000-280000 Rs.25000-80000 and above upto Rs.50000-160000 (Non-Exe) Below grade Rs.25000-80000"
What is the eligibility on official work within the headquarter station?,"The employees, who are required to travel on official work within the headquarters station, are entitled to travel by the following modes and claim reimbursement on actual: Entitlement to travel at official work:- Pay Scale Rs.120000-280000 and above but below TMM Rs.50000-160000 (Exe) and above but less than Rs. 120000-280000 Rs.25000-80000 and above upto Rs.50000-160000 (Non-Exe) Below grade Rs.25000-80000"
What is the eligibility on official work within the headquarter station?,"The employees, who are required to travel on official work within the headquarters station, are entitled to travel by the following modes and claim reimbursement on actual: Entitlement to travel at official work:- Pay Scale Rs.120000-280000 and above but below TMM Rs.50000-160000 (Exe) and above but less than Rs. 120000-280000 Rs.25000-80000 and above upto Rs.50000-160000 (Non-Exe) Below grade Rs.25000-80000"
Whether reimbursement of prolonged treatment is admissible for disease other than mentioned in Para 6.2 & 6.3 of Medical Attendance Rules?,
Whether reimbursement of prolonged treatment is admissible for disease other than mentioned in Para 6.2 & 6.3 of Medical Attendance Rules?,
"My Earlier approval of prolong treatment expired on date viz. 01.01.2022, due to busy schedule of official assignment, I could not apply for renewal. Whether I can get approval from back date?",
"My Earlier approval of prolong treatment expired on date viz. 01.01.2022, due to busy schedule of official assignment, I could not apply for renewal. Whether I can get approval from back date?",
"I was availing prolong treatment from hospital X. Now, i have changed the hospital whether fresh approval for taking treatment from hospital Y is required?",
"For applying for all jobs advertised by UPSC, only an intimation to DMRC is required or prior permission shall be obtained?","Applications for the Civil Services Examination, Engineering Services Examination, Indian Forest Service Examination, Indian Economic Service/Indian Statistical Examination only, as advertised by the UPSC, can be sent directly by the employee under prior intimation to the HR deptt., through the concerned HOD. 
Such applications shall not be counted towards the limit of 04 applications for outside employment, per calendar year. 
All other posts advertised by the UPSC, or, other service commissions, etc., shall be counted towards the limit of 04 applications for outside employment, per calendar year."
What is the general procedure for allotment?,"For staff quarters Upto Type-IV: Upon receiving notice that quarter is vacant, and ready for allotment, the HR wing notifies the respective Committee of the pool. The Committee then issues a notice to inform the shortlisted employees, based on their position in the priority list and their willingness for the quarter location, so as to avoid withdrawal later. After this exercise, the Committee forwards their name to the  HR wing for issuing allotment notice. (Para 8 of Rules) For staff quarters Type-V & above: For Common Pool II, the recommendation for allotment of quarter, as per the priority list and willingness of employee, shall be made by Admin. Deptt. after approval of DF."
Whether allotment shall be made to both wife and husband if they both work in the government sector (one of them being in DMRC)?,"If the husband and wife are both working in government sector (one of them being in DMRC), the spouse working in DMRC can register for DMRC staff quarter. However, the other spouse having occupation of government accommodation will have to surrender the same, before they occupy the DMRC quarter. A declaration to this effect will be taken at the time of registration by the DMRC employee."
What is the amount of marriage gift for male & female employee?,"It is Rs. 4,000/- for male employee and Rs. 8,000/- for female employee."
"If an employee has ancestral property which is not in the name of employee, will he/she be eligible for HBA for construction/renovation on it?","No, title of the land should be in the name of the employee."
The APAR of an HOD under the control of two Directors (Administrative control and Functional control) is required to be signed by which Director?,It is mandatory that their APAR is countersigned by the administrative as well as functional Director.
"In case, any applicant who chooses to submit his/her application for Appointment on Compassionate Ground without appearing in the Written / Test, he/she may submit his/her application to be considered for which post / pay-scale?","Multitasking Staff (MTS), in the pay scale of Rs. 16000 – 50000"
How to apply for retention?,An allottee seeking retention of accommodation may submit a hard copy of the application duly      forwarded by his/her office and submitted to the HR department immediately on the occurrence of the event necessitating such permission. The request for retention should be accompanied by the following documents:
"If an employee requests for early relieving (i.e., before 90 days), then how he/she can get approval?","If employee requests for early relieving (i.e., before 90 days), they can be allowed to do so with the approval of the Competent Authority i.e., concerned Director, and by making payment equivalent to last drawn (Basic Pay + DA) for the balance shortfall period."
"Does an Immovable Property owned / purchased by spouse of employee, using their own funds and in their own name, requires to be mentioned in the APR?","No.
Such Immovable property details are not required to be mentioned in the APR."
When is the APR required to be filled?,"APR is required to be filled on 31st Dec, every year."
Whether an employee can avail HBA to purchase a house in an unapproved colony/area?,"No, HBA will be granted for approved colonies/areas only."
"Whether house can be purchased jointly with brother/sister/father/mother/son/ daughter, while availing HBA?","No, HBA cannot be given in such cases."
Whether home loan from banks/financial institutions can be swapped to DMRC HBA?,"Yes, employee who has already taken Home Loans from Banks and other Registered Financial Institutions is allowed to  migrate  to  HBA,  subject  to  fulfilment  of  the  other conditions as per extant rules."
Can an employee combine joining time with CL?,Joining time can be combined with any kind of leave except casual leave.
How many CL are available for field staff?,12 nos. of CL are available for the field staff.
"What is the ceiling limit of reimbursement provision of Tablet PC to dependent daughter, on her joining regular PG course","The eligibility for reimbursement is Rs. 15,000/- or the actual cost of tablet PC, whichever is less."
How many CL are available for field staff?,12 nos. of CL are available for the field staff.
"Is there any time limit within which the claims from SWF shall be made, from the date of occurrence of event (For eg. Date of marriage)?","All claims shall be made within six months of the occasion, failing which no claim shall be entertained."
Can an employee combine joining time with CL?,Joining time can be combined with any kind of leave except casual leave.
What are common proceedings?,"Where two or more employees are concerned in a case, the authority competent to impose a major penalty on all such employees may make an order directing that disciplinary proceedings against all of them may be taken in a common proceedings and the specified authority may function as the disciplinary authority for the purpose of such common proceedings."
Within how many days Compensatory rest can be availed?,"Compensatory Rest should be availed within a period of 30 days, in lieu of which it is claimed."
Maximum how many Compensatory Rests can be availed in a single stretch at a time by a non-executive employee?,A maximum of three days of Compensatory Rest may be availed in a single stretch at a time.
What is the maximum value of the gift in the case of Executives which has to be reported to the Competent Authority?,The maximum value of the gift in the case of Executives which has to be reported to the Competent Authority is Rs. 25000/-.
What is the maximum value of the gift in the case of Non-Executives which has to be reported to the Competent Authority?,The maximum value of the gift in the case of Non-Executives which has to be reported to the Competent Authority is Rs. 15000/-.
Who is the Competent Authority to approve the initial engagement on Post Retirement Contractual Engagement basis?,All initial engagements on PRCE basis shall be made with the approval of the Managing Director.
Will an employee get incentive after successful completion of online course?,"No incentive is admissible for completing the online course. Only the course fee, within the prescribed limit, is reimbursable, subject to completion of course."
What is the condition for forwarding application for outside employment for absorbed employees?,"For absorbed employees (employees who join DMRC, initially on deputation and are absorbed later), no application will be forwarded for outside employment until they complete two years of service after absorption. Thereafter four applications per calendar year will be forwarded for outside employment in Govt. department / office."
"What are the guidelines for the employees to have connection with media (press, tv channel, radio, internet multimedia etc.)","a.    No employee of the Corporation shall, except with the previous sanction of the Competent Authority, own wholly or in part, or conduct or participate in the editing or management of any newspapers or other periodical publication. b.   No employee of the Corporation shall, except with the previous sanction of the Competent Authority upload any matter on internet. Provided that no such sanction shall be required if material/ contribution is of a purely literary artistic or scientific character. c.    No employee of the Corporation shall, except with the previous sanction of the Competent Authority is permitted to take part in any show or act in the film"
"In case of contract employees, will their application for outside employment be forwarded by Corporation?","In case of contractual employees, forwarding of application for outside employment is not required. In such cases, however intimation of outside employment application is mandatory."
"If an employee is on contract, then after how many years of service, he/she will be eligible for permission for higher studies?","For employees on contract, permission for pursuing higher studies (part time/correspondence/distance learning mode only) shall be given, only on completion of their 3 years’ service in DMRC. 
However, they will not be eligible for any incentive for acquiring higher qualification."
Whether contractual services subsequent upon regularisation can be considered for eligibility of HBA?,"Yes, 70% period of contractual service shall be considered."
Is the service rendered during contractual tenure considered as residency period for promotion purpose?,"Subsequent upon regularization, the contract service of such employees shall be counted @ maximum up to 70% for further promotion in DMRC. The maximum period of past contract service shall not exceed the quantum of 1.4 years (approx. 70% of 02 years), for promotion purposes and for other purposes including availing of various advances."
What is the maximum limit of fee reimbursement for online courses per block of 3 years?,"Fee reimbursement shall be restricted to Rs. 12,000/- per block of 3 years (from completion of one course)."
What is the crucial date of ascertaining eligibility?,The crucial date of ascertaining eligibility would be the 1st of the month in which open market recruitment advertisement is published / notified
How many days of joining time will an employee get when he/she has to join a new post within Delhi/NCR?,1 day joining time is admissible in such cases.
"An employee who joins DMRC on Deputation basis and is absorbed later on, how the information related to his PVR is maintained in DMRC?","The requirement of PVR is relaxed in case of such employees, who join DMRC on Deputation basis / absorbed in DMRC after completion of deputation, as they are joining DMRC after proper relieving from another Govt. organization / entity."
"An employee who joins DMRC on Deputation basis and is absorbed later on, how the information related to his PVR is maintained in DMRC?","The requirement of PVR is relaxed in case of such employees, who join DMRC on Deputation basis / absorbed in DMRC after completion of deputation, as they are joining DMRC after proper relieving from another Govt. organization / entity."
"Would the Deputationists be granted seniority upon absorption, in DMRC, as per his parent department’s seniority?","The seniority of a deputationists upon absorption in DMRC shall count from the date following the date of acceptance of his/her resignation by the parent organization.In case, an employee is absorbed in a grade corresponding to his/her substantive grade in parent cadre, the service rendered in the parent cadre as well as on deputation in DMRC, shall be counted for the next promotion."
If an employee is inducted on Direct Recruitment basis. What is their probation period?,"(i) Minimum period of 01-year, in case of induction at the level of DGM & above. (ii) Minimum period of 02 years for non-Executive cadre up to the level of Manager."
"The Order of the Disciplinary Authority can be challenged, before whom?","The Appellate Authority, as defined under Rule 50 of the DMRC Conduct Discipline and Appeal Rules."
"Where are the Disciplinary Authority, Appellate Authority and Reviewing Authority notified?","The Disciplinary Authority, Appellate Authority and Reviewing Authority, for each grade, has been defined in the Rule 41 along-with the Schedule – A of the DMRC Conduct Discipline and Appeal Rules."
"If the discipline of an employee is changed at his/her own request, then how is the seniority in the new discipline fixed?",The seniority in the new discipline is fixed at the bottom of the list.
"If the discipline of an employee is changed on administrative ground, then how is the new seniority fixed?","The employee will get his / her due seniority in the new discipline, reckoned from the date of entry to the grade."
If the distance between an employee’s old HQ and new HQ is 1000 Km or less. How many days of joining time will he/she get?,10 days (in case of travel by air: 7 days) are admissible in such cases.
If the distance between an employee’s old HQ and new HQ is more than 2000 Km. How many days of joining time will he/she get?,15 days (in case of travel by air: 12 days) are admissible in such cases.
If the distance between an employee’s old HQ and new HQ is more than1000 Km and less than 2000 Km. How many days of joining time will he/she get?,12 days (in case of travel by air: 9 days) are admissible in such cases.
"Who are exempted from the DMRC Conduct, Discipline and Appeal Rules?","a.    Those in casual employment or paid from contingencies, and, b.   Those who are inducted on Contract (Re-Employment, Retainership basis, Consultant, Advisor, Post Retirement Contractual Engagement, Contract)"
"If an employee requests for early relieving (i.e., before 90 days), then how he/she can get approval?","If employee requests for early relieving (i.e., before 90 days), they can be allowed to do so with the approval of the Competent Authority i.e., concerned Director, and by making payment equivalent to last drawn (Basic Pay + DA) for the balance shortfall period."
When can an employee become eligible to get NOC for Higher Education for pursuing correspondence/ part time/ distance learning mode?,"Employee becomes eligible for such NOC, after completion of Probation and further 01-year regular service, after that."
"If an employee is pursuing any educational course prior to the appointment in DMRC, can he/she continue?","The employees, who were already pursuing any educational course prior to the time of appointment in DMRC, will require to obtain permission to continue pursuing the same. However, permission shall not be granted to such candidates who are pursuing regular full-time educational courses and the remaining duration of such courses are required to be completed through full time mode only."
What is the education qualification for the post of MTS?,The education qualification for the MTS shall be Matriculation / Xth pass.
Can permission be given to an employee to pursue more than one educational course at any given time?,No. Employee is not given permission to pursue two educational courses simultaneously.
"In case of two DMRC employees being married to each other, can they both make claim for child birth gift?","No, in such case, only one employee (on whom the child is dependent in DMRC records) may make the claim."
"Whether house can be purchased jointly with the spouse, while availing HBA?","Yes, in this case a NOC to mortgage the property with DMRC will be submitted by the spouse on non-judicial stamp paper."
Whether employee is eligible for 2nd HBA after complete repayment of 1st HBA.,No. Not more than one advance shall be admissible to an employee during the entire service.
Who shall be eligible for consideration for Compassionate Appointment in DMRC?,"The dependent of a deceased employee shall be eligible for consideration for appointment on compassionate grounds, on need-cum-eligibility/suitability for the post."
An employee selected against an Advt. dated 2016 joined DMRC in May 2017 due to some reasons and such extension was granted to him by Competent Authority. Another employee selected for the same post against an Advt. dated Jan 2017 joined DMRC in March 2017. Which of the two employees will be senior?,"Candidates selected for appointment at an earlier selection shall be senior to those selected later, irrespective of date of joining within the stipulated period."
Can an employee avail joining time in parts?,"Joining time should be availed in a single stretch, within six months from the relieving date, on transfer. It cannot be, under any circumstances, be availed in parts."
Whether employee is eligible for HBA during probation/Contractual period?,"No, only regular, confirmed and absorbed employee of the Corporation with minimum 2 ½ years continuous service as on the date of application for advance will be eligible."
If an employee fails to submit his/her Self Appraisal of APAR then what happens?,"In case, an employee fails to initiate their APAR within the stipulated time frame, the Reporting Authority can initiate the employee’s APAR without the Self-Appraisal and follow the regular course of action on APAR."
Do all employees are required to fill the APR?,"No.
APR is required to be filled by Executives of DMRC [Including Direct recruits / Deputationists / Contractual/Post Retirement Contractual Engagement]"
"For transfer of an employee from O&M to Project or Vice versa, who is the Competent Approving authority?","Approval of both the concerned Directors is required, in such cases."
"Family in relation to an employee includes as per the DMRC Conduct, Discipline and","a.    Employee’s Spouse,"
If an employee is inducted on Direct Recruitment basis. What is their probation period?,"(i) Minimum period of 01-year, in case of induction at the level of DGM & above. (ii) Minimum period of 02 years for non-Executive cadre up to the level of Manager."
"If an employee is transferred on his/her own request, will he/she be eligible for CTG and other transfer facilities?","No, such facilities are admissible for transfers on administrative grounds only."
"In case of two DMRC employees marrying each other, are they both eligible to claim marriage gift?","Yes, in such case, both the DMRC employees may claim marriage gift."
"If an employee has tendered the resignation, then during notice period of 90 days what kind of leaves he/she can avail?","Subsequent upon tendering resignation, an employee is allowed to avail only CL/RH during the notice period of 90 days."
If an employee gets temporarily transferred (for a period not exceeding 180 days). Will he/she get joining time?,"No. 
Only the actual transit time is allowed, as in the case of journey on tour."
"Two employees, competing for the same post, secure the same marks in the DPC. How will their seniority be determined?","In case two or more candidates securing same number in the aggregate, their relative merit position for the purpose of empanelment may be determined on the basis of their relative seniority in the feeder grade. The same logic will be applied to fill up the last vacancy."
"Are all the employees of DMRC, members of SWF?","Only regular and contract employee of the Corporation including absorbee’s, are members and it doesn’t include deputationist, re-employment, consultants and a person employed on daily wages or apprentices paid under the Apprenticeship Act, 1961."
What would be paid to a person if he/she is engaged on PRCE basis?,Only a consolidated amount shall be paid according to the substantive pay scale from which they had retired from the Govt/PSUs.
What is meant by Essential Quota and who is entitled for the same?,"10% of staff quarters for phase III and IV will be reserved for essential staff (non-executives only), to ensure expeditious attention towards teething problems related to new technology like UTO, PDS, CBTC which may hamper train services. (Para 11 of Rules)."
If an Executive performs duty on his/her weekly rest. Will he/she be eligible for compensatory rest?,No. Executives are not eligible for compensatory rest in this condition.
"At the end of extended probation period, if the probationer review does not merit ‘Suitable’ assessment. Then what happens?","If at the end of probation period including extended period, the probationer review does not merit ‘Suitable’ assessment, his / her services shall be terminated forthwith, in accordance with the terms of offer of appointment."
How many CL are available for field staff?,12 nos. of CL are available for the field staff.
How many GH/NH are available for field staff?,15 nos. GH/NH are available for the field staff.
Whether employee can get finance from other financial institutions along with HBA?,"Yes, permission for 2nd mortgage can be given, however first mortgage shall be done by DMRC and original documents shall also be retained by DMRC."
What is the rule for employment of near relatives of the employees in any corporation or firm enjoying patronage of the corporation?,"a.    No employee shall use his/her position or influence directly or indirectly to secure employment for any person related whether by blood or marriage to the employee or to the employee’s wife or husband; whether such a person is dependent on the employee or not. b.   No employee shall, except with the previous sanction of the Competent Authority permit his/her son, daughter or any member of the family to accept employment with any Company or firm with which he has official dealings, or with any Company or firm, having official dealings with the Corporation c.    No employee shall in the discharge of his/her official duties deal with any matter or give or sanction any contract to any Company or firm or any other person if any member of his/her family is employed in that Company or firm."
"The grant of Funeral assistance in case of death of a family member, includes which all family members?","The grant is applicable in case of death of family members viz. spouse, child and parents, irrespective of their dependency status and the condition that they were staying with the employee."
What is the General Conduct which is to be observed by every employee?,Every employee of the Corporation shall at all times: - a.    maintain absolute integrity b.   maintain devotion to duty c.    do nothing which is unbecoming of a public servant.
How many GH/NH are available for field staff?,15 nos. GH/NH are available for the field staff.
"What is the amount for Child Birth Gift? For how many children, this may be claimed?","Rs.2,500/- is given as Child birth gift, which is limited to first two children only. However, in case the second delivery results in birth of twin children, then the grant shall be admissible for both the twins."
The grant of marriage gift for son / daughter of employee is admissible to only non-executive employees or is it admissible for the Executive employees also,It is applicable to both Executive and Non-Executive employees.
"Upon Resignation from DMRC to join another Govt. Organization, through proper channel, with less than 5 years’ service in DMRC, can the Gratuity be transferred to that other Govt. Organization?","Transfer of Gratuity, even if, service is less than 5 years in DMRC, if, employee joins other Government organization through proper channel their service is treated as continuous service and all benefits are transferable.
An undertaking from the prospective employer, i.e., other Government organization, should also be taken that if the employee resigns from there, before completing 5 years (DMRC service put together) the gratuity paid will be refunded to DMRC."
Is it possible   to repay HBA before the scheduled period?,"Yes, any time employee can make part repayment of outstanding sum or foreclose it completely."
Is it possible   to sell the house before re-payment of HBA?,"No, release of original property papers and transfer of the property shall be done only after clearing the outstanding HBA with DMRC."
What is the maximum period for repayment of HBA?,Maximum period for repayment of HBA is 20 years (15 years principal and 5 years interest)
Whether HBA may be granted to purchase a property on Power of Attorney?,"No, HBA will be given on Registered/Government approved property."
How much HBA amount can be sanctioned to an employee?,"As per DMRC House Building Advance Rules, ""HBA limit including  cost  of  land  of  the  house  is  60  times  of  basic  pay  or ₹ 40.00 lakh or cost of property whichever is less."""
"If an employee completes a Higher Education course, after obtaining NOC from DMRC and secures less than 60% marks, will he / she still be eligible for grant of incentive on acquiring such qualification.","No. 
Only the qualification will be added in the service records as incentive is applicable in only those cases, where employee secures more than 60% marks."
"If Honorarium is paid for working on weekly rest day to an O&M employee, then will he/she be eligible to get compensatory rest/conveyance charge also?","Where honorarium is paid for working on weekly rest day, like exam duty etc., no Compensatory Rest/ conveyance charges will be admissible for O&M employees."
"Can an employee purchase a house beyond cost ceiling limit of ₹1.00 cr, while availing HBA.","Yes, maximum up to 25% over the ceiling limit with reasonable income sources may be approved."
"Upon immediate joining in DMRC, will the employee be eligible to seek NOC for outside employment?","For new recruits (who join DMRC, on direct recruitment basis), it will be a condition on their appointment that no application of theirs would be forwarded for outside employment until they complete their probation period and one-year regular service in the Corporation thereafter. 
On completion of the said period, only four applications per calendar year will be forwarded for outside employment in Govt. department / office. Out of four applications, only two can be for deputation basis."
Will an employee get incentive after successful completion of online course?,"No incentive is admissible for completing the online course. Only the course fee, within the prescribed limit, is reimbursable, subject to completion of course."
What are the conditions for inclusion of a qualification in service records / monetary incentive for qualification acquired after obtaining due permission?,Qualification/s acquired after obtaining due permission from Management shall be considered for inclusion in the service records / departmental promotions / monetary incentive etc. if attained with minimum 60% marks or an equitable grade thereof.
The Indemnity Bond required to be filled by employee seeking incentive on completion of higher education course requires the employee to be in DMRC’s service for how many years?,It requires the employee to be in DMRC’s service for atleast 02 years.
"An employee who joins DMRC on Deputation basis and is absorbed later on, how the information related to his PVR is maintained in DMRC?","The requirement of PVR is relaxed in case of such employees, who join DMRC on Deputation basis / absorbed in DMRC after completion of deputation, as they are joining DMRC after proper relieving from another Govt. organization / entity."
Can an employee avail joining time in parts?,"Joining time should be availed in a single stretch, within six months from the relieving date, on transfer. It cannot be, under any circumstances, be availed in parts."
Can an employee combine joining time with CL?,Joining time can be combined with any kind of leave except casual leave.
If an employee joins other Government department through proper channel. What kind of leaves can be transferred?,Transfer of the leave both Earned Leave (Encashable& Non-encashable) and Medical Leave (LHAP).
Whether sanctioned HBA can lapse?,"Yes, if not utilized within a period of 4 months from the date of issue of the office order"
"If the remark (at the end of probation period) on the last assessment of an employee is “Not suitable”, then what will happen?","The probationer may be treated as on further extended probation. A maximum period of one year of extended probation can be allowed at the discretion of Management only, if, it is felt that the probationer can improve and earn suitability during the extended probation period."
What leaves are admissible to those engaged on PRCE basis?,"For those working against Regular Posts: - 1.   Special Leave: 01, per completed month. 2.   Casual Leave: 08/12 in a calendar year, as admissible to regular employees. 3.   Restricted Holidays: 02, at par with regular employees."
What is License Fee?,License fee means the sum of money payable monthly in addition to HRA with respect to residence allotted under these rules. (Para 8.6 of the Rules)
"What is age limit for candidates, to be considered for Post-Retirement Contractual Engagement basis?","The age of the candidates should be between the ages 55 years to 62 years, as on the crucial date. However, Corporation reserves the right to relax both the lower and the upper age limits, in exceptional circumstances, warranted on account of public exigency(ies)."
"What are the criteria for change of location, after allotment?","Change of location is not allowed, except under the following circumstances: 1.      Change of location is in the interest of administration, with the approval of with the approval of DF (for Type V and above) / DOS (for quarters upto Type IV). 2.      Medical grounds (as per recommendation of Committee), and based on availability. 3.      Mutual exchange"
What are Major Penalties which can be imposed on an employee?,"a.   [save as provided for in clause 40.1(iv)] Reduction to a lower stage in the time-scale of pay for a specified period, with further directions as to whether or not the employee will earn increments of pay during the period of such reduction and whether on the expiry of such period, the reduction will or will not have the effect of postponing the future increments of his/her pay; b.   Reduction to a lower time-scale of pay, grade, post or service, with or without further directions regarding conditions of restoration to the grade or post or service from which the DMRC employee was reduced and his seniority and pay on such restoration to that grade, post or service; c.   Compulsory Retirement; d.   Removal from service which shall not be a disqualification for future employment under the Government or PSUs; e.    Dismissal from service which shall ordinarily be a disqualification for future employment under the Government or PSUs."
In what manner can the Appellate Authority decide the Appeal?,"The Appellate Authority may pass order confirming, enhancing, reducing or setting aside the penalty or remitting the case to the authority which imposed the penalty or to any other authority with such direction as it may deem fit in the circumstances of the case."
What is the maximum limit of fee reimbursement for online courses per block of 3 years?,"Fee reimbursement shall be restricted to Rs. 12,000/- per block of 3 years (from completion of one course)."
"When an employee is in service, he/she went through medical check-up by nominated hospital. What is the duration of validity of the medical fitness report?",The validity of medical fitness report is till 06 months from such medical examination
What is the minimum and maximum age for a candidate for recruitment in DMRC?,"The minimum age for the applicant shall be 18 years of age. The maximum age shall be 32 years for ‘Executive’ posts and 33 years for ‘non-executive’ posts, with the usual relaxation for reserved categories as per the guidelines of the Govt. of India, as issued from time to time"
"What is the minimum and maximum age for a departmental candidate, to be considered for open market recruitment in DMRC?","The Existing DMRC employees who have completed at least 3 years continuous service in DMRC, as on the crucial date, shall be given an upper-age relaxation/limit to the extent, that for Executive posts, the maximum age relaxation shall be UR – by 5 years, OBC – 8 years and SC/ST –10 years and for Non-Executive posts, the upper-age limit for the employee shall be for UR – 40 years, OBC – 43 years and SC/ST – 45 years"
What is the minimum floor area of property for availing HBA.?,Minimum floor area should not be less than 33 sq. mt.
What is the minimum period for which an employee should have rendered service for generation of his / her APAR?,"The employee should have completed minimum 90 days of service in the Corporation on assessment year ending, i.e., on 31st March of the year."
What are the minimum qualifying marks in the Computer Based Test and Personal Interview?,The minimum qualifying marks in the Computer Based Test and Personal Interview for UR/EWS candidates will be 40%. For SC/ST/OBC/PwBD candidates the qualifying marks will be 30%.
What are Minor Penalties which can be imposed on an employee?,"a.  Censure b.   Withholding of his/her promotion c.    Recovery from his/her pay of the whole or part of any pecuniary loss caused by him/her to the Corporation by negligence or breach of orders d.   Reduction to a lower stage in the time-scale of pay by one stage for a period not exceeding three years, without cumulative effect and not adversely affecting his/her terminal benefits. e.    Withholding of increments of pay"
How mutual exchange of accommodation can be sought?,"For the personal convenience of two allottees, mutual exchange of accommodation is permitted on a request received from both allottees through their respective departments."
"For celebration of which National Festival, there is provision to release grant to the Staff quarters under SWF Rules?","Only for celebration of Independence Day, a fixed amount, which is based on the number of occupied flats, is granted to the RRAs of the staff quarters for celebration."
